0.0932,Mouse.left,released
1.7823,Mouse.left,pressed
1.8652,Mouse.left,released
3.8152,Mouse.left,pressed
3.9172,Mouse.left,released
18.7761,'c',pressed,OTHPYR
18.8360,Mouse.left,pressed
18.9120,'c',released,OTHPYR
18.9322,Mouse.left,released
21.5773,Mouse.left,pressed
21.6703,Mouse.left,released
24.9391,'s',pressed,OTHPYR
25.2133,'s',released,OTHPYR
25.5436,'d',pressed,OTHPYR
25.6359,'w',pressed,OTHPYR
25.7489,'d',released,OTHPYR
25.8413,'w',released,OTHPYR
26.3550,'w',pressed,OTHPYR
26.6369,'a',pressed,OTHPYR
26.8049,'a',released,OTHPYR
26.9193,Mouse.left,pressed
27.0099,'w',released,OTHPYR
27.2211,Mouse.left,released
27.4201,'s',pressed,OTHPYR
27.9360,'a',pressed,OTHPYR
28.1150,'s',released,OTHPYR
28.5601,'w',pressed,OTHPYR
29.0569,'w',released,OTHPYR
29.2980,Mouse.left,pressed
29.3139,'a',released,OTHPYR
29.5750,Mouse.left,released
29.8330,'d',pressed,OTHPYR
30.1990,'w',pressed,OTHPYR
30.4250,'d',released,OTHPYR
30.6700,'w',released,OTHPYR
30.9732,'r',pressed,OTHPYR
31.1190,'r',released,OTHPYR
31.6049,'r',pressed,OTHPYR
31.7629,'r',released,OTHPYR
32.0030,'r',pressed,OTHPYR
32.1539,'r',released,OTHPYR
32.3493,'r',pressed,OTHPYR
32.4876,'r',released,OTHPYR
33.0070,'r',pressed,OTHPYR
33.1659,'r',released,OTHPYR
33.7228,'a',pressed,OTHPYR
34.0766,'a',released,OTHPYR
34.6951,'s',pressed,OTHPYR
35.3360,'s',released,OTHPYR
36.0400,'d',pressed,OTHPYR
36.6890,'s',pressed,OTHPYR
36.7551,'d',released,OTHPYR
36.9899,'d',pressed,OTHPYR
37.0657,'s',released,OTHPYR
37.2099,'d',released,OTHPYR
37.4339,'w',pressed,OTHPYR
37.8002,Key.shift,pressed,OTHPYR
38.4240,'W',released,OTHPYR
38.4419,Key.shift,released,OTHPYR
38.7270,'d',pressed,OTHPYR
38.8611,Key.shift,pressed,OTHPYR
39.1156,'W',released,OTHPYR
39.2003,'W',pressed,OTHPYR
39.2879,'D',released,OTHPYR
39.4029,'A',pressed,OTHPYR
39.6120,'W',released,OTHPYR
39.6620,'W',pressed,OTHPYR
40.0699,'W',released,OTHPYR
40.1621,'W',pressed,OTHPYR
40.2604,Key.shift,released,OTHPYR
40.4783,Key.shift,pressed,OTHPYR
40.5951,'A',released,OTHPYR
40.9069,'A',pressed,OTHPYR
41.0013,'A',released,OTHPYR
41.1319,'D',pressed,OTHPYR
41.2059,Key.shift,released,OTHPYR
41.3532,'d',released,OTHPYR
41.3782,Key.shift,pressed,OTHPYR
42.0381,'W',released,OTHPYR
42.1457,'W',pressed,OTHPYR
42.5482,'D',released,OTHPYR
42.6949,Key.shift,released,OTHPYR
42.8290,Key.shift,pressed,OTHPYR
43.7039,Key.space,pressed,OTHPYR
43.7999,Key.space,released,OTHPYR
44.8679,Key.space,pressed,OTHPYR
44.9860,Key.shift,released,OTHPYR
45.0009,Key.space,released,OTHPYR
45.4498,Key.space,pressed,OTHPYR
45.6062,Key.space,released,OTHPYR
45.6320,Key.shift,pressed,OTHPYR
46.0773,Key.shift,released,OTHPYR
46.1874,Key.space,pressed,OTHPYR
46.3419,Key.space,released,OTHPYR
46.7389,Key.shift,pressed,OTHPYR
47.0371,Key.space,pressed,OTHPYR
47.1789,Key.space,released,OTHPYR
47.6418,'D',pressed,OTHPYR
48.3354,'D',released,OTHPYR
48.6491,'D',pressed,OTHPYR
49.0909,'D',released,OTHPYR
49.1289,'A',pressed,OTHPYR
49.5491,'D',pressed,OTHPYR
49.6063,'A',released,OTHPYR
49.6722,'D',released,OTHPYR
50.0059,'D',pressed,OTHPYR
50.1399,'W',released,OTHPYR
50.6921,'W',pressed,OTHPYR
50.7950,'D',released,OTHPYR
51.0231,'D',pressed,OTHPYR
51.1681,'D',released,OTHPYR
51.7149,'D',pressed,OTHPYR
52.0034,'D',released,OTHPYR
52.3942,'A',pressed,OTHPYR
52.6699,'A',released,OTHPYR
52.6939,'D',pressed,OTHPYR
53.5069,'D',released,OTHPYR
54.3540,'A',pressed,OTHPYR
54.7229,'A',released,OTHPYR
55.5079,'A',pressed,OTHPYR
55.7330,'A',released,OTHPYR
56.4259,'D',pressed,OTHPYR
56.6349,'W',released,OTHPYR
56.9440,'A',pressed,OTHPYR
57.0189,'D',released,OTHPYR
57.3359,'D',pressed,OTHPYR
57.4040,'A',released,OTHPYR
58.3193,'D',released,OTHPYR
58.3609,'A',pressed,OTHPYR
59.4460,'W',pressed,OTHPYR
60.0530,'W',released,OTHPYR
60.9978,'W',pressed,OTHPYR
61.1049,'A',released,OTHPYR
61.7259,'W',released,OTHPYR
61.8252,'A',pressed,OTHPYR
62.3203,'A',released,OTHPYR
62.5329,Key.shift,released,OTHPYR
62.9750,'s',pressed,OTHPYR
63.1029,'a',pressed,OTHPYR
63.2535,'a',released,OTHPYR
63.3932,'s',released,OTHPYR
65.6851,'a',pressed,OTHPYR
65.8510,'a',released,OTHPYR
67.6269,'w',released,OTHPYR
68.1322,'s',pressed,OTHPYR
68.4070,'s',released,OTHPYR
68.5216,'d',pressed,OTHPYR
68.6069,'w',pressed,OTHPYR
68.8880,Key.shift,pressed,OTHPYR
69.4840,'D',released,OTHPYR
69.5030,'W',released,OTHPYR
69.6340,'D',pressed,OTHPYR
69.8839,'W',pressed,OTHPYR
70.2132,'W',released,OTHPYR
70.6099,'S',pressed,OTHPYR
70.8369,'S',released,OTHPYR
70.9730,'W',pressed,OTHPYR
71.3300,'D',released,OTHPYR
72.1517,'D',pressed,OTHPYR
72.2503,'W',released,OTHPYR
72.5769,'S',pressed,OTHPYR
73.1489,'S',released,OTHPYR
73.2569,'D',released,OTHPYR
73.2860,'A',pressed,OTHPYR
73.9431,'W',pressed,OTHPYR
74.0711,'A',released,OTHPYR
74.4794,'A',pressed,OTHPYR
75.3179,'A',released,OTHPYR
75.5209,'W',released,OTHPYR
75.7459,'S',pressed,OTHPYR
75.9241,'A',pressed,OTHPYR
76.4521,'S',released,OTHPYR
77.6371,'A',released,OTHPYR
77.6939,'W',pressed,OTHPYR
77.8870,'D',pressed,OTHPYR
78.3471,'D',released,OTHPYR
79.6301,'W',released,OTHPYR
79.8149,Key.shift,released,OTHPYR
80.2339,'a',pressed,OTHPYR
80.2481,Mouse.left,pressed
80.3689,'a',released,OTHPYR
80.8109,'w',released,OTHPYR
80.8161,Mouse.left,released
81.0101,'w',pressed,OTHPYR
81.0622,Mouse.left,pressed
81.1101,'w',released,OTHPYR
81.5101,Mouse.left,released
81.9661,Mouse.left,pressed
82.1221,Mouse.left,released
82.2461,'s',pressed,OTHPYR
82.4329,'s',released,OTHPYR
82.7740,Mouse.left,pressed
82.9162,Mouse.left,released
83.3740,'w',pressed,OTHPYR
83.8333,'w',released,OTHPYR
84.6179,'s',pressed,OTHPYR
84.7415,'s',released,OTHPYR
85.1699,'d',released,OTHPYR
85.3553,'s',pressed,OTHPYR
85.6301,'d',pressed,OTHPYR
85.6589,'s',released,OTHPYR
85.9049,Key.shift,pressed,OTHPYR
86.1830,'W',pressed,OTHPYR
86.2749,'D',released,OTHPYR
86.7809,'W',released,OTHPYR
